stop_id,stop_name,stop_nomber,neighborhood_ID
,"החיד""א 1 ככר",1,1
,"החיד""א 4",2,1
,"החיד""א 6",3,1
,"החיד""א 8",4,1
,"חיד""א / אבא שאול",5,1
,בן איש חי 62,6,1
,בן איש חי 70,7,1
,בן איש חי 61 מלמטה,8,1
,בן איש חי 45,9,1
,בן איש חי 33,10,1
,בן איש חי / צדקה ,11,1
,בן איש חי 11,12,1
,בן איש חי 5,13,1
,מול בן איש חי 5 תחנה,14,1
,מול בן איש חי 11 תחנה,15,1
,בן קיסמא 3,16,2
,קיסמא / עזאי תחנה,17,2
,"חזו""א / ברכת אברהם",18,3
,אור שמח 12,19,3
,אור שמח 26,20,3
,אור שמח 32,21,3
,מול בית ישראל פינת אמרי אמת הראשון,22,3
,מול בית ישראל פינת אמרי אמת השני,23,3
,בית ישראל פינת אמרי אמת הראשון,24,3
,בית ישראל פינת אמרי אמת השני,25,3
,אמרי אמת 11,26,3
,נהר הירדן 62,27,4
,"ריב""ל 10",28,4
,"ריב""ל 41",29,4
,רבי צדוק 10,30,4
,רבי טרפון 10,31,4
,נהר הירדן 51 תחנה,32,4
,רבי אלעזר 57,33,4
,"הירדן / מעלות רמ""א",34,4
,"רבי יהודה הנשיא / רש""פ הראשון",35,4
,"רשב""י 12",36,4
,רבי יהושע 12,37,4
,רבי יהושע 5,38,4
,נהר הירדן 32,39,4
,בעלזא מכולת הישן,40,5
,תכלת מרדכי 4,41,5
,תכלת מרדכי 6,42,5
,תכלת מרדכי 8,43,5
,תכלת מרדכי 10,44,5
,תכלת מרדכי 9,45,5
,תכלת מרדכי 7,46,5
,תכלת מרדכי 5,47,5
,"האדמו""ר מבעלזא 13",48,5
,אחרי נדבורנא אראד במדריגות,49,5
,לב הרמה,50,6
,נהר הירדן 3,51,6
,נהר הירדן 14 ,52,6
,מול הרצוג 39,53,7
,הרצוג 39,54,7
,הרצוג 41,55,7
,דובר שלום 7 עץ הדעת,56,7
,דובר שלום 24,57,7
,דובר שלום 22,58,7
,דובר שלום (הירדן 14 למטה),59,7
,אוהל יהושע 2,60,7
,אוהל יהושע 4,61,7
